stock_key,market,code,official_name
stock:000807.SZ,SZ,000807,云铝股份
stock:000809.SZ,SZ,000809,和展能源
stock:00081.HK,HK,00081,中国海外宏洋集团
stock:000810.SZ,SZ,000810,创维数字
stock:000811.SZ,SZ,000811,冰轮环境
stock:000812.SZ,SZ,000812,陕西金叶
stock:000813.SZ,SZ,000813,德展健康
stock:000815.SZ,SZ,000815,美利云
stock:000816.SZ,SZ,000816,智慧农业
stock:000818.SZ,SZ,000818,航锦科技
stock:000819.SZ,SZ,000819,岳阳兴长
stock:00082.HK,HK,00082,疯狂体育
stock:000820.SZ,SZ,000820,*ST节能
stock:000821.SZ,SZ,000821,ST京机
stock:000822.SZ,SZ,000822,山东海化
stock:000823.SZ,SZ,000823,超声电子
stock:000825.SZ,SZ,000825,太钢不锈
stock:000826.SZ,SZ,000826,启迪环境
stock:000828.SZ,SZ,000828,东莞控股
stock:000829.SZ,SZ,000829,天音控股
stock:00083.HK,HK,00083,信和置业
stock:000830.SZ,SZ,000830,鲁西化工
stock:000831.SZ,SZ,000831,中国稀土
stock:000833.SZ,SZ,000833,粤桂股份
stock:000837.SZ,SZ,000837,秦川机床
stock:000838.SZ,SZ,000838,财信发展
stock:000839.SZ,SZ,000839,国安股份
stock:00084.HK,HK,00084,宝光实业
stock:000848.SZ,SZ,000848,承德露露
stock:00085.HK,HK,00085,中电华大科技
stock:000850.SZ,SZ,000850,华茂股份
stock:000852.SZ,SZ,000852,石化机械
stock:000856.SZ,SZ,000856,冀东装备
stock:000858.SZ,SZ,000858,五粮液
stock:000859.SZ,SZ,000859,国风新材
stock:00086.HK,HK,00086,新鸿基公司
stock:000860.SZ,SZ,000860,顺鑫农业
stock:000862.SZ,SZ,000862,银星能源
stock:000863.SZ,SZ,000863,三湘印象
stock:000868.SZ,SZ,000868,安凯客车
stock:000869.SZ,SZ,000869,张裕A
stock:00087.HK,HK,00087,太古股份公司B
stock:000875.SZ,SZ,000875,电投绿能
stock:000876.SZ,SZ,000876,新希望
stock:000877.SZ,SZ,000877,天山股份
stock:000878.SZ,SZ,000878,云南铜业
stock:00088.HK,HK,00088,TAICHEUNGHOLD
stock:000880.SZ,SZ,000880,潍柴重机
stock:000881.SZ,SZ,000881,中广核技
stock:000882.SZ,SZ,000882,华联股份
stock:000883.SZ,SZ,000883,湖北能源
stock:000885.SZ,SZ,000885,城发环境
stock:000886.SZ,SZ,000886,海南高速
stock:000887.SZ,SZ,000887,中鼎股份
stock:000888.SZ,SZ,000888,峨眉山A
stock:000889.SZ,SZ,000889,中嘉博创
stock:00089.HK,HK,00089,大生地产
stock:000890.SZ,SZ,000890,法尔胜
stock:000892.SZ,SZ,000892,欢瑞世纪
stock:000893.SZ,SZ,000893,亚钾国际
stock:000895.SZ,SZ,000895,双汇发展
stock:000897.SZ,SZ,000897,津滨发展
stock:000898.SZ,SZ,000898,鞍钢股份
stock:000899.SZ,SZ,000899,赣能股份
stock:00090.HK,HK,00090,普星能量
stock:000900.SZ,SZ,000900,现代投资
stock:000901.SZ,SZ,000901,航天科技
stock:000902.SZ,SZ,000902,新洋丰
stock:000903.SZ,SZ,000903,ST云动
stock:000905.SZ,SZ,000905,厦门港务
stock:000906.SZ,SZ,000906,浙商中拓
stock:000908.SZ,SZ,000908,ST景峰
stock:000909.SZ,SZ,000909,*ST数源
stock:000910.SZ,SZ,000910,大亚圣象
stock:000911.SZ,SZ,000911,广农糖业
stock:000912.SZ,SZ,000912,泸天化
stock:000913.SZ,SZ,000913,钱江摩托
stock:000915.SZ,SZ,000915,华特达因
stock:000917.SZ,SZ,000917,电广传媒
stock:000919.SZ,SZ,000919,金陵药业
stock:00092.HK,HK,00092,冠军科技集团
stock:000920.SZ,SZ,000920,沃顿科技
stock:000921.SZ,SZ,000921,海信家电
stock:000922.SZ,SZ,000922,佳电股份
stock:000923.SZ,SZ,000923,河钢资源
stock:000925.SZ,SZ,000925,众合科技
stock:000926.SZ,SZ,000926,福星股份
stock:000927.SZ,SZ,000927,中国铁物
stock:000928.SZ,SZ,000928,中钢国际
stock:000929.SZ,SZ,000929,*ST兰黄
stock:00093.HK,HK,00093,零在科技金融
stock:000930.SZ,SZ,000930,中粮科技
stock:000931.SZ,SZ,000931,中关村
stock:000932.SZ,SZ,000932,华菱钢铁
stock:000933.SZ,SZ,000933,神火股份
stock:000935.SZ,SZ,000935,四川双马
stock:000936.SZ,SZ,000936,华西股份
stock:000937.SZ,SZ,000937,冀中能源
stock:000938.SZ,SZ,000938,紫光股份
stock:00094.HK,HK,00094,绿心集团
stock:000948.SZ,SZ,000948,南天信息
stock:000949.SZ,SZ,000949,新乡化纤
stock:00095.HK,HK,00095,绿景中国地产
stock:000950.SZ,SZ,000950,重药控股
stock:000951.SZ,SZ,000951,中国重汽
stock:000952.SZ,SZ,000952,广济药业
stock:000953.SZ,SZ,000953,河化股份
stock:000955.SZ,SZ,000955,欣龙控股
stock:000957.SZ,SZ,000957,中通客车
stock:000958.SZ,SZ,000958,电投产融
stock:000959.SZ,SZ,000959,首钢股份
stock:00096.HK,HK,00096,YUSEI
stock:000960.SZ,SZ,000960,锡业股份
stock:000962.SZ,SZ,000962,东方钽业
stock:000963.SZ,SZ,000963,华东医药
stock:000965.SZ,SZ,000965,天保基建
stock:000966.SZ,SZ,000966,长源电力
stock:000967.SZ,SZ,000967,盈峰环境
stock:000968.SZ,SZ,000968,蓝焰控股
stock:000969.SZ,SZ,000969,安泰科技
stock:00097.HK,HK,00097,恒基发展
stock:000970.SZ,SZ,000970,中科三环
stock:000972.SZ,SZ,000972,*ST中基
stock:000973.SZ,SZ,000973,佛塑科技
stock:000975.SZ,SZ,000975,山金国际
stock:000977.SZ,SZ,000977,浪潮信息
stock:000978.SZ,SZ,000978,桂林旅游
stock:00098.HK,HK,00098,兴发铝业
stock:000980.SZ,SZ,000980,众泰汽车
stock:000981.SZ,SZ,000981,山子高科
stock:000983.SZ,SZ,000983,山西焦煤
stock:000985.SZ,SZ,000985,大庆华科
stock:000987.SZ,SZ,000987,越秀资本
stock:000988.SZ,SZ,000988,华工科技
stock:000989.SZ,SZ,000989,九芝堂
stock:00099.HK,HK,00099,王氏国际
stock:000990.SZ,SZ,000990,诚志股份
stock:000993.SZ,SZ,000993,闽东电力
stock:000995.SZ,SZ,000995,皇台酒业
stock:000997.SZ,SZ,000997,新大陆
stock:000998.SZ,SZ,000998,隆平高科
stock:000999.SZ,SZ,000999,华润三九
stock:00100.HK,HK,00100,MINIMAX-W
stock:00101.HK,HK,00101,恒隆地产
stock:00103.HK,HK,00103,首佳科技
stock:00104.HK,HK,00104,ASIACOMMHOLD
stock:00105.HK,HK,00105,凯联国际酒店
stock:00106.HK,HK,00106,朗诗绿色管理
stock:00107.HK,HK,00107,四川成渝高速公路
stock:00108.HK,HK,00108,国锐生活
stock:00110.HK,HK,00110,中国长远
stock:00111.HK,HK,00111,信达国际控股
stock:00113.HK,HK,00113,迪生创建
stock:00114.HK,HK,00114,HERALDHOLD
stock:00115.HK,HK,00115,钧濠集团
stock:00116.HK,HK,00116,周生生
stock:00117.HK,HK,00117,天利控股集团
stock:00118.HK,HK,00118,大同机械
stock:00119.HK,HK,00119,保利置业集团
stock:00120.HK,HK,00120,COSMOPOLINT'L
stock:001201.SZ,SZ,001201,东瑞股份
stock:001202.SZ,SZ,001202,炬申股份
stock:001203.SZ,SZ,001203,大中矿业
stock:001205.SZ,SZ,001205,盛航股份
stock:001206.SZ,SZ,001206,依依股份
stock:001207.SZ,SZ,001207,联科科技
stock:001208.SZ,SZ,001208,华菱线缆
stock:001209.SZ,SZ,001209,洪兴股份
stock:001210.SZ,SZ,001210,金房能源
stock:001211.SZ,SZ,001211,双枪科技
stock:001212.SZ,SZ,001212,中旗新材
stock:001213.SZ,SZ,001213,中铁特货
stock:001215.SZ,SZ,001215,千味央厨
stock:001216.SZ,SZ,001216,华瓷股份
stock:001217.SZ,SZ,001217,华尔泰
stock:001218.SZ,SZ,001218,丽臣实业
stock:001219.SZ,SZ,001219,青岛食品
stock:00122.HK,HK,00122,鳄鱼恤
stock:001220.SZ,SZ,001220,世盟股份
stock:001221.SZ,SZ,001221,悍高集团
stock:001222.SZ,SZ,001222,源飞宠物
stock:001223.SZ,SZ,001223,欧克科技
stock:001225.SZ,SZ,001225,和泰机电
stock:001226.SZ,SZ,001226,拓山重工
stock:001227.SZ,SZ,001227,兰州银行
stock:001228.SZ,SZ,001228,永泰运
stock:001229.SZ,SZ,001229,魅视科技
stock:00123.HK,HK,00123,越秀地产
stock:001230.SZ,SZ,001230,劲旅环境
stock:001231.SZ,SZ,001231,农心科技
stock:001233.SZ,SZ,001233,海安集团
stock:001234.SZ,SZ,001234,泰慕士
stock:001236.SZ,SZ,001236,弘业期货
stock:001238.SZ,SZ,001238,浙江正特
stock:001239.SZ,SZ,001239,永达股份
stock:00124.HK,HK,00124,粤海置地
stock:00125.HK,HK,00125,新兴光学
stock:001255.SZ,SZ,001255,博菲电气
stock:001256.SZ,SZ,001256,炜冈科技
stock:001257.SZ,SZ,001257,C盛龙股份
stock:001258.SZ,SZ,001258,立新能源
stock:001259.SZ,SZ,001259,利仁科技
stock:00126.HK,HK,00126,佳宁娜
stock:001260.SZ,SZ,001260,坤泰股份
stock:001266.SZ,SZ,001266,宏英智能
stock:001267.SZ,SZ,001267,汇绿生态
stock:001268.SZ,SZ,001268,联合精密
stock:001269.SZ,SZ,001269,欧晶科技
stock:00127.HK,HK,00127,华人置业
stock:001270.SZ,SZ,001270,*ST铖昌
stock:001277.SZ,SZ,001277,速达股份
stock:001278.SZ,SZ,001278,一彬科技
stock:001279.SZ,SZ,001279,强邦新材
stock:00128.HK,HK,00128,安宁控股
stock:001280.SZ,SZ,001280,中国铀业
stock:001282.SZ,SZ,001282,三联锻造
stock:001283.SZ,SZ,001283,豪鹏科技
stock:001285.SZ,SZ,001285,瑞立科密
stock:001286.SZ,SZ,001286,陕西能源
stock:001287.SZ,SZ,001287,中电港
stock:001288.SZ,SZ,001288,运机集团
stock:001289.SZ,SZ,001289,龙源电力
stock:00129.HK,HK,00129,泛海集团
stock:001296.SZ,SZ,001296,长江材料
stock:001298.SZ,SZ,001298,好上好
stock:001299.SZ,SZ,001299,美能能源
stock:00130.HK,HK,00130,慕诗国际
stock:001300.SZ,SZ,001300,三柏硕
stock:001301.SZ,SZ,001301,尚太科技
stock:001306.SZ,SZ,001306,夏厦精密
stock:001308.SZ,SZ,001308,康冠科技
stock:001309.SZ,SZ,001309,德明利
stock:00131.HK,HK,00131,卓能（集团）
stock:001311.SZ,SZ,001311,多利科技
stock:001313.SZ,SZ,001313,粤海饲料
stock:001314.SZ,SZ,001314,亿道信息
stock:001316.SZ,SZ,001316,润贝航科
stock:001317.SZ,SZ,001317,三羊马
stock:001318.SZ,SZ,001318,阳光乳业
stock:001319.SZ,SZ,001319,铭科精技
stock:00132.HK,HK,00132,兴业控股
stock:001322.SZ,SZ,001322,箭牌家居
stock:001323.SZ,SZ,001323,慕思股份
stock:001324.SZ,SZ,001324,长青科技
stock:001325.SZ,SZ,001325,元创股份
stock:001326.SZ,SZ,001326,联域股份
stock:001328.SZ,SZ,001328,登康口腔
stock:001330.SZ,SZ,001330,博纳影业
stock:001331.SZ,SZ,001331,胜通能源
stock:001332.SZ,SZ,001332,锡装股份
stock:001333.SZ,SZ,001333,光华股份
stock:001335.SZ,SZ,001335,信凯科技
stock:001336.SZ,SZ,001336,楚环科技
stock:001337.SZ,SZ,001337,四川黄金
stock:001338.SZ,SZ,001338,永顺泰
stock:001339.SZ,SZ,001339,智微智能
stock:00135.HK,HK,00135,昆仑能源
stock:001356.SZ,SZ,001356,富岭股份
stock:001358.SZ,SZ,001358,兴欣新材
